brand,category,dimensions,attributes,name_en,desc_en,name_fr,desc_fr,owner,owner_id,price,number_in_stock,discount,phone_number,status,address,city,colors,size,thumbnail_index,,,,
"{""name"":""LP""}","{""main"":""Electronics"",""sub"":""Bluetooth""}","{""hcm"":16, ""wcm"":29, ""kg"":1}",{},LP V76 Wireless Speaker,Speaker,LP V76 Wireless Speaker,Speaker,Fabricetelecom,f1ca2adf-723e-4fe6-b7d1-4ec5af58b96b,6000,2,0,670318040,New,Kombe Market,Douala,{black},{},0,,,,
"{""name"":""UNNEL""}","{""main"":""Electronics"",""sub"":""Parts""}","{""hcm"":30, ""wcm"":19, ""kg"":0.50}","{""suitable for"":""14-43""}",Flat panel TV Wall Mount,Tv mount,LP V76 Wireless Speaker,Tv mount,Fabricetelecom,f1ca2adf-723e-4fe6-b7d1-4ec5af58b96b,3000,4,0,670318040,New,Kombe Market,Douala,{black},{},0,,,,
"{""name"":""Super California""}","{""main"":""Electronics"",""sub"":""Cable""}","{""lm"":18.22, ""kg"":0.25}","{""suitable for"":""Decoder""}",RG6U CoaXial Cabel,decoder Cabel,RG6U CoaXial Cabel,decoder Cabel,Fabricetelecom,f1ca2adf-723e-4fe6-b7d1-4ec5af58b96b,1500,2,0,670318040,New,Kombe Market,Douala,{black},{},0,,,,
"{""name"":""WarmKiss""}","{""main"":""Electronics"",""sub"":""Solar Panel ""}","{""hcm"":25, ""wcm"":15, ""kg"":0.20}",{},Aliminum Solar Panel,Solar Panel,Aliminum Solar Panel,solar panel,Fabricetelecom,f1ca2adf-723e-4fe6-b7d1-4ec5af58b96b,3000,1,0,670318040,New,Kombe Market,Douala,{black},{},0,,,,
"{""name"":""itel""}","{""main"":""Electronics"",""sub"":""Bluetooth""}","{""hcm"":20, ""wcm"":16, ""kg"":0.10}",{},Wireless Earphone,wireless earphone,Wireless Earphone,wireless earphone,Fabricetelecom,f1ca2adf-723e-4fe6-b7d1-4ec5af58b96b,4000,2,0,670318040,New,Kombe Market,Douala,{black},{},0,,,,
"{""name"":""K9l""}","{""main"":""Electronics"",""sub"":""Microphone""}","{""hcm"":12, ""wcm"":6, ""kg"":0.10}",{},Wireless Microphone,Wireless Microphone,Wireless Microphone,Wireless Microphone,Fabricetelecom,f1ca2adf-723e-4fe6-b7d1-4ec5af58b96b,4000,1,0,670318040,New,Kombe Market,Douala,{black},{},0,,,,
"{""name"":""TWS""}","{""main"":""Electronics"",""sub"":""Bluetooth""}","{""hcm"":9.5, ""wcm"":9.5, ""kg"":0.10}",{},i12,i12,i12,i12,Fabricetelecom,f1ca2adf-723e-4fe6-b7d1-4ec5af58b96b,2500,2,0,670318040,New,Kombe Market,Douala,{black},{},0,,,,
"{""name"":""WS""}","{""main"":""Electronics"",""sub"":""Bluetooth""}","{""hcm"":9.5, ""wcm"":9.5, ""kg"":0.10}",{},WS-887 mini Speaker,WS-887 mini Speaker,WS-887 mini Speaker,WS-887 mini Speaker,Fabricetelecom,f1ca2adf-723e-4fe6-b7d1-4ec5af58b96b,2500,2,0,670318040,New,Kombe Market,Douala,{black},{},0,,,,
"{""name"":""H@F""}","{""main"":""Electronics"",""sub"":""Bluetooth""}","{""hcm"":12, ""wcm"":16, ""kg"":1}",{},HF- 002 Wireless Speaker,Speaker,HF- 002 Wireless Speaker,Speaker,Fabricetelecom,f1ca2adf-723e-4fe6-b7d1-4ec5af58b96b,5000,2,0,670318040,New,Kombe Market,Douala,{black},{},0,,,,
"{""name"":""Oraimo""}","{""main"":""Electronics"",""sub"":""Charger""}","{""hcm"":8, ""wcm"":8, ""kg"":0.10}",{},Ultra portable Charger,SpeakerUltra portable Charger,Ultra portable Charger,Ultra portable Charger,Fabricetelecom,f1ca2adf-723e-4fe6-b7d1-4ec5af58b96b,200,2,0,670318040,New,Kombe Market,Douala,{black},{},0,,,,
